Name,Position,Birth_Date,Height,Weight
Allan Bester,G,3/26/1964,5-7 ft,155
John Bethel,LW,1/15/1957,5-11 ft,185
Karel Betik,D,10/28/1978,6-2 ft,208
Ben Betker,D,9/29/1994,,
Maxim Bets,LW,1/31/1974,6-1 ft,185
Sam Bettio,LW,12/1/1928,5-8 ft,175
Blair Betts,C,2/16/1980,6-3 ft,210
Kaleb Betts,C,1/10/1983,,
Brock Beukeboom,D,4/1/1992,,
Jeff Beukeboom,D,3/28/1965,6-5 ft,230
Bill Beveridge,G,7/1/1909,5-8 ft,170
Nick Beverley,D,4/21/1947,6-2 ft,185
Marian Bezak,,,,
Goran Bezina,D,3/21/1980,6-2 ft,215
Dmitri Bezrukov,LW,11/9/1977,,
Dwight Bialowas,D,9/8/1952,6-0 ft,185
Frank Bialowas,LW,9/25/1969,5-11 ft,220
Wayne Bianchin,LW,9/6/1953,5-10 ft,180
Antoine Bibeau,G,5/1/1994,6-3 ft,207
Paul Bibeault,G,4/13/1919,5-9 ft,160
Radim Bicanek,D,1/18/1975,6-1 ft,209
Jiri Bicek,RW,12/3/1978,5-10 ft,190
Stu Bickel,D,10/2/1986,6-4 ft,207
Bryan Bickell,LW,3/9/1986,6-4 ft,223
Todd Bidner,LW,7/5/1961,6-2 ft,205
Alex Biega,D,4/4/1988,5-10 ft,193
Danny Biega,D,9/29/1991,6-0 ft,205
Kevin Bieksa,D,6/16/1981,6-1 ft,200
Dominik Bielke,D,10/23/1990,,
Zac Bierk,G,9/17/1976,6-5 ft,205
Don Biggs,C,4/7/1965,5-8 ft,185
Tyler Biggs,RW,4/30/1993,6-2 ft,205
Larry Bignell,D,1/7/1950,6-0 ft,175
Kyle Bigos,D,5/12/1989,6-4 ft,235
Chris Bigras,D,2/22/1995,6-1 ft,190
Zinetul Biljaketdinov,D,3/13/1955,5-11 ft,191
Tim Billingsley,D,1/17/1990,,
Craig Billington,G,9/11/1966,5-10 ft,170
Chad Billins,D,5/26/1989,5-10 ft,180
Gilles Bilodeau,LW,7/31/1955,6-1 ft,220
Yvon Bilodeau,D,1/18/1951,6-3 ft,210
